PUSHBUTTON_TYPE,INTERSECTION_ID,STATUS,ESTIMATED_YEAR_OF_IMPROVEMENT,YEAR_INSPECTED,GIS_ID,CREATED_DATE,LAST_EDITED_DATE,SE_ANNO_CAD_DATA,GLOBALID,OBJECTID,LONGITUDE,LATITUDE
Type C: Compliant version with Vibro-tactile and arrow,,1,2030,2016,ADA_APSPt_1087,1470420454000,1719520978000,,{9F53D88D-B8EC-4864-9D4D-3E6C96EC2EBF},1087,-77.02285884685715,38.91654417414914
Type C: Compliant version with Vibro-tactile and arrow,,1,2030,2016,ADA_APSPt_1088,1512691069000,1719520978000,,{800BB04D-1B1F-4DF2-A3DC-8ACDD476CFD1},1088,-76.99834365032493,38.95370063490605
None,,1,2030,2016,ADA_APSPt_1089,1470880425000,1719520978000,,{59636AC0-A8E8-40AB-83F2-C64F35D966AD},1089,-77.03640409549149,38.91931152171662
None,,1,2030,2016,ADA_APSPt_1090,,1719520978000,,{6EEFC4D1-8D74-4B85-BD96-38E18D36CF0C},1090,-77.04651690407101,38.91062196975937
None,,1,2030,2016,ADA_APSPt_1091,1470765756000,1719520978000,,{C68BEF90-2E3F-4FD2-BDCB-A0614D76CA09},1091,-77.02962019698778,38.92387523621492
None,,1,2030,2016,ADA_APSPt_1092,,1719520978000,,{4DE4C383-0B81-4E11-AA45-9EDB4823BAB4},1092,-77.03654681625557,38.956267856359666
None,,1,2030,2016,ADA_APSPt_1093,1471667198000,1719520978000,,{43A6547A-63E5-468F-A57B-4DF50FB6B81E},1093,-77.01991870178466,38.966141959266906
None,,1,2030,2016,ADA_APSPt_1094,1470692952000,1719520978000,,{1FB75AF8-84BC-44D8-92D4-1F470E3B69DB},1094,-77.02961360225909,38.94895318966281
None,,1,2030,2016,ADA_APSPt_1095,1472856484000,1719520978000,,{A5BC6A42-0E9E-43C5-8134-EFB7F8A2A627},1095,-77.0176592521342,38.885946225489434
None,,1,2030,2016,ADA_APSPt_1096,,1719520978000,,{DEB6A410-A487-4350-946E-E39A004389FB},1096,-76.97055762144454,38.873452979474216
None,,1,2030,2016,ADA_APSPt_1097,1471375089000,1719520978000,,{8569D9AD-A4B1-4C68-910D-17ABEF89F3DC},1097,-76.99838368312219,38.894868444910124
None,,1,2030,2016,ADA_APSPt_1098,1470694069000,1719520978000,,{74462E6E-E453-46B3-AB08-DAF3E88A7029},1098,-77.03187352464612,38.94501687059869
None,,1,2030,2016,ADA_APSPt_1099,1471995247000,1719520978000,,{35A45EFA-FE82-44B7-B7F9-A571E57D2E87},1099,-76.98596176615322,38.910428150742725
None,,1,2030,2016,ADA_APSPt_1100,1471985115000,1719520978000,,{D5D4E876-DCF6-4166-B277-04B304E3B782},1100,-77.01508578691856,38.91325042933162
None,,1,2030,2016,ADA_APSPt_1101,1472106390000,1719520978000,,{2A626876-445B-4066-871A-26520C20E2B9},1101,-77.05747457761406,38.933456574595816
None,,1,2030,2016,ADA_APSPt_1102,1469490218000,1719520978000,,{4B1DA86C-2469-431B-9400-7F76C73F9E22},1102,-77.07275082163099,38.95461019787249
None,,1,2030,2016,ADA_APSPt_1103,1470418606000,1719520978000,,{BDC2BF31-F9E5-4F59-9137-C0C4BB475A5E},1103,-76.94040281219287,38.88649847105543
